,id,label,timeset,type,image,lfr,listed,friends,shape,file,followers,user_id,ffr,statuses,latitude,longitude,country,city
3323,1098,ImperialMed,,followers,/home/usnish/twitter_ypcdn/img/365941621.jpg,0.2518,138,2722,triangle-up,ncdaction.dat,5480,365941621,2.0132,5164,51.4988,-0.1749,United Kingdom,
3324,1524,WitchHazelPolly,,followers,/home/usnish/twitter_ypcdn/img/40694231.jpg,0.0,0,623,triangle-down,ncdaction.dat,90,40694231,0.1445,92,41.1579,-8.6291,Portugal,Porto
3325,2024,Cancer_Union,,followers,/home/usnish/twitter_ypcdn/img/2864016687.jpg,0.3646,7,168,triangle-up,ncdaction.dat,192,2864016687,1.1429,352,35.9813,-115.098,United States,Henderson
3326,2041,yurhealth,,followers,/home/usnish/twitter_ypcdn/img/94951344.jpg,6.4167,308,734,triangle-down,ncdaction.dat,480,94951344,0.654,13788,-7.7956,110.3695,Indonesia,Yogyakarta
3327,1131,conniekihembo,,followers,/home/usnish/twitter_ypcdn/img/834838010.jpg,0.1064,1,191,triangle-down,ncdaction.dat,94,834838010,0.4921,13,0.3476,32.5825,Uganda,Kampala
3328,717,Fantwit,,followers,/home/usnish/twitter_ypcdn/img/29692942.jpg,0.4222,19,1235,triangle-down,ncdaction.dat,450,29692942,0.3644,761,-12.4634,130.8456,Australia,
3329,1698,OphiraG,,followers,/home/usnish/twitter_ypcdn/img/333732170.jpg,0.5521,171,1978,triangle-up,ncdaction.dat,3097,333732170,1.5657,13225,40.7128,-74.0059,United States,New York
3330,117,UAEMAlberta,,followers,/home/usnish/twitter_ypcdn/img/312466510.jpg,0.5121,19,514,triangle-down,ncdaction.dat,371,312466510,0.7218,668,53.5444,-113.4909,Canada,Edmonton
3331,2926,HarvardGH,,followers,/home/usnish/twitter_ypcdn/img/217471383.jpg,0.3204,187,1279,triangle-up,ncdaction.dat,5837,217471383,4.5637,2080,42.377,-71.1167,United States,Cambridge
3332,1594,BarbKurkowski,,followers,/home/usnish/twitter_ypcdn/img/2446025964.jpg,0.8696,2,95,triangle-down,ncdaction.dat,23,2446025964,0.2421,23,-19.259,146.8169,Australia,Townsville City
3334,2039,SAFEbiologics,,followers,/home/usnish/twitter_ypcdn/img/228769504.jpg,0.2504,16,1333,triangle-down,ncdaction.dat,639,228769504,0.4794,494,38.8816,-77.091,United States,Arlington
3335,3485,zeeleung,,followers,/home/usnish/twitter_ypcdn/img/756546518694371329.jpg,0.2586,3,114,triangle-up,ncdaction.dat,116,756546518694371329,1.0175,131,51.2538,-85.3232,Canada,
3336,2236,KacieDickinson,,followers,/home/usnish/twitter_ypcdn/img/2304264470.jpg,0.3367,10,1015,triangle-down,ncdaction.dat,297,2304264470,0.2926,246,-34.9285,138.6007,Australia,
3337,4037,sujaykakarmath,,followers,/home/usnish/twitter_ypcdn/img/32787105.jpg,0.0559,1,1018,triangle-down,ncdaction.dat,179,32787105,0.1758,240,42.3601,-71.0589,United States,Boston
3338,3602,diamondpetrol,,followers,/home/usnish/twitter_ypcdn/img/136711376.jpg,0.1266,8,3503,triangle-down,ncdaction.dat,632,136711376,0.1804,5152,51.5074,-0.1278,United Kingdom,London
3339,3121,HauerslevMarie,,followers,/home/usnish/twitter_ypcdn/img/1246450825.jpg,0.2004,9,242,triangle-up,ncdaction.dat,449,1246450825,1.8554,328,56.1629,10.2039,Denmark,Aarhus
3340,2333,genvbarnard,,followers,/home/usnish/twitter_ypcdn/img/2479724390.jpg,0.7658,68,2351,triangle-down,ncdaction.dat,888,2479724390,0.3777,1677,42.3601,-71.0589,United States,Boston
3342,2834,missmands87,,followers,/home/usnish/twitter_ypcdn/img/855514686.jpg,0.7143,20,858,triangle-down,ncdaction.dat,280,855514686,0.3263,2337,49.082,-123.0173,Canada,Delta
3343,754,ali_nguyen,,followers,/home/usnish/twitter_ypcdn/img/243119238.jpg,0.2283,29,1979,triangle-down,ncdaction.dat,1270,243119238,0.6417,5246,-37.8136,144.9631,Australia,
3344,3486,Dra_PilarBailon,,followers,/home/usnish/twitter_ypcdn/img/786558868948078592.jpg,0.2222,1,147,triangle-down,ncdaction.dat,45,786558868948078592,0.3061,46,19.3182,-98.2375,Mexico,
3345,3969,ScienceMarchDC,,followers,/home/usnish/twitter_ypcdn/img/823565852922576897.jpg,0.0718,2570,598,triangle-up,ncdaction.dat,357879,823565852922576897,598.4599,3982,38.9072,-77.0369,United States,Washington
3348,2011,ChelsMaz,,followers,/home/usnish/twitter_ypcdn/img/358168678.jpg,0.7895,9,286,triangle-down,ncdaction.dat,114,358168678,0.3986,59,43.6532,-79.3832,Canada,Toronto
3349,892,WorldVisionUN,,followers,/home/usnish/twitter_ypcdn/img/844171472.png,0.2607,98,1398,triangle-up,ncdaction.dat,3759,844171472,2.6888,5210,40.7128,-74.0059,United States,New York
3350,19,cashsalt,,followers,/home/usnish/twitter_ypcdn/img/74728012.jpg,0.28800000000000003,55,1832,triangle-up,ncdaction.dat,1910,74728012,1.0426,6268,51.5214,-0.0988,United Kingdom,
3351,2992,FrutillAtarvana,,followers,/home/usnish/twitter_ypcdn/img/218322124.jpg,0.1675,14,2416,triangle-down,ncdaction.dat,836,218322124,0.34600000000000003,6721,6.2442,-75.5812,Colombia,
3352,4238,marieoppeboen,,followers,/home/usnish/twitter_ypcdn/img/837662340162207748.jpg,0.1685,6,1554,triangle-down,ncdaction.dat,356,837662340162207748,0.2291,265,52.7859,-8.0065,Ireland,
3356,2457,Abhi_0991,,followers,/home/usnish/twitter_ypcdn/img/1061092963.jpg,0.4065,5,267,triangle-down,ncdaction.dat,123,1061092963,0.4607,396,42.3601,-71.0589,United States,Boston
3357,267,drrakeshpandit,,followers,/home/usnish/twitter_ypcdn/img/212233649.jpg,0.0,0,498,triangle-down,ncdaction.dat,208,212233649,0.4177,184,28.6139,77.209,India,New Delhi
3358,2281,Rosado444,,followers,/home/usnish/twitter_ypcdn/img/495714545.jpg,0.0766,4,406,triangle-up,ncdaction.dat,522,495714545,1.2857,9940,38.9072,-77.0369,United States,Washington
3360,593,KITHealthEdu,,followers,/home/usnish/twitter_ypcdn/img/713994230.png,0.3226,18,296,triangle-up,ncdaction.dat,558,713994230,1.8851,473,52.3702,4.8952,Netherlands,Amsterdam
3362,1601,natlstrokeassoc,,followers,/home/usnish/twitter_ypcdn/img/23098595.jpg,0.1999,492,5044,triangle-up,ncdaction.dat,24613,23098595,4.8797,3783,39.7392,-104.9903,United States,Denver
3364,489,geoffreybuckle,,followers,/home/usnish/twitter_ypcdn/img/49386529.jpg,0.2632,3,865,triangle-down,ncdaction.dat,114,49386529,0.1318,7,37.7749,-122.4194,United States,San Francisco
3367,323,GenBois,,followers,/home/usnish/twitter_ypcdn/img/292074765.jpg,0.3241,100,632,triangle-up,ncdaction.dat,3085,292074765,4.8813,10527,45.4697,-73.7449,Canada,
3368,2677,NAV_igator,,followers,/home/usnish/twitter_ypcdn/img/1441765549.jpg,0.4878,6,323,triangle-down,ncdaction.dat,123,1441765549,0.3808,3374,51.5074,-0.1278,United Kingdom,London
3369,1031,VazVonnie,,followers,/home/usnish/twitter_ypcdn/img/476284320.jpg,0.0498,1,953,triangle-down,ncdaction.dat,201,476284320,0.2109,60,41.6091,-74.5366,United States,Wurtsboro
3370,2473,Egide_MacBera,,followers,/home/usnish/twitter_ypcdn/img/2280380023.jpg,1.8584,21,776,triangle-down,ncdaction.dat,113,2280380023,0.1456,901,47.5391,-122.2906,United States,Seattle
3371,2891,DVENTParaguay,,followers,/home/usnish/twitter_ypcdn/img/4923801777.jpg,0.8333,1,69,triangle-down,ncdaction.dat,12,4923801777,0.1739,44,-25.2637,-57.5759,Paraguay,Asuncion
3372,3704,shepchid,,followers,/home/usnish/twitter_ypcdn/img/507027488.jpg,0.217,12,3110,triangle-down,ncdaction.dat,553,507027488,0.1778,281,-25.2744,133.7751,Australia,
3373,74,workforcesoton,,followers,/home/usnish/twitter_ypcdn/img/301379081.jpg,0.1315,28,977,triangle-up,ncdaction.dat,2129,301379081,2.1791,2495,50.9097,-1.4044,United Kingdom,Southampton
3374,1202,teaganfink,,followers,/home/usnish/twitter_ypcdn/img/2169962642.png,0.3093,3,192,triangle-down,ncdaction.dat,97,2169962642,0.5052,47,-37.8136,144.9631,Australia,
3375,1063,tarli_tweet,,followers,/home/usnish/twitter_ypcdn/img/295735684.jpg,0.5333,4,181,triangle-down,ncdaction.dat,75,295735684,0.4144,382,-25.2744,133.7751,Australia,
3376,498,kate_ehospice,,followers,/home/usnish/twitter_ypcdn/img/815413915.jpg,0.3226,34,581,triangle-up,ncdaction.dat,1054,815413915,1.8141,3385,58.9809,-2.9605,United Kingdom,
3378,3869,A_Gryka,,followers,/home/usnish/twitter_ypcdn/img/1531132015.jpg,0.0641,1,789,triangle-down,ncdaction.dat,156,1531132015,0.1977,100,55.8642,-4.2518,United Kingdom,Glasgow
3379,2997,trishnayna,,followers,/home/usnish/twitter_ypcdn/img/2791662702.jpg,0.9265,29,758,triangle-down,ncdaction.dat,313,2791662702,0.4129,2173,-37.8136,144.9631,Australia,
3380,2494,K2PCenter,,followers,/home/usnish/twitter_ypcdn/img/2811232844.png,0.5188,47,966,triangle-down,ncdaction.dat,906,2811232844,0.9379,2189,33.9008,35.4807,Lebanon,Beirut
3383,1694,medicusmundi,,followers,/home/usnish/twitter_ypcdn/img/118631951.jpg,0.5207,286,947,triangle-up,ncdaction.dat,5493,118631951,5.8004,12226,40.4168,-3.7038,Spain,Madrid
3385,1514,EuroHealthNet1,,followers,/home/usnish/twitter_ypcdn/img/333992072.jpg,0.4468,152,731,triangle-up,ncdaction.dat,3402,333992072,4.6539,2587,50.8503,4.3517,Belgium,
3386,1731,wronoh,,followers,/home/usnish/twitter_ypcdn/img/372168339.jpg,0.4088,13,523,triangle-down,ncdaction.dat,318,372168339,0.608,636,1.9577,37.2972,,
3388,1389,loureirocaroli,,followers,/home/usnish/twitter_ypcdn/img/2305733388.jpg,0.7895,9,465,triangle-down,ncdaction.dat,114,2305733388,0.2452,610,-14.235,-51.9253,Brazil,
