# ----------------------------------------,,,,,,,,,
# All Web Site Data,,,,,,,,,
# Location,,,,,,,,,
# 20160701-20170726,,,,,,,,,
# ----------------------------------------,,,,,,,,,
Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
El Salvador,14,92.86%,13,92.86%,1.14,00:00:09,0.00%,0,$0.00 
Brunei,13,100.00%,13,61.54%,1.62,00:02:21,0.00%,0,$0.00 
Bolivia,13,92.31%,12,92.31%,1.31,00:01:13,0.00%,0,$0.00 
Lesotho,13,92.31%,12,69.23%,1.54,00:00:37,0.00%,0,$0.00 
Jersey,12,100.00%,12,91.67%,1.08,00:00:04,0.00%,0,$0.00 
Somalia,12,83.33%,10,41.67%,2.92,00:05:03,0.00%,0,$0.00 
Bahamas,11,100.00%,11,81.82%,1.27,00:00:07,0.00%,0,$0.00 
Nicaragua,10,90.00%,9,90.00%,1.2,00:00:06,0.00%,0,$0.00 
Timor-Leste,10,100.00%,10,90.00%,1.2,00:04:00,0.00%,0,$0.00 
Congo,9,77.78%,7,88.89%,1.11,00:00:04,0.00%,0,$0.00 
Honduras,9,88.89%,8,100.00%,1,00:00:00,0.00%,0,$0.00 
Haiti,9,77.78%,7,77.78%,1.33,00:00:30,0.00%,0,$0.00 
Liberia,9,88.89%,8,66.67%,2.44,00:03:11,0.00%,0,$0.00 
Madagascar,8,62.50%,5,87.50%,1.12,00:00:37,0.00%,0,$0.00 
Palestine,8,75.00%,6,37.50%,2.5,00:03:17,0.00%,0,$0.00 
Syria,8,100.00%,8,62.50%,1.38,00:02:46,0.00%,0,$0.00 
RÌ©union,7,100.00%,7,85.71%,1.14,00:00:12,0.00%,0,$0.00 
Sierra Leone,7,85.71%,6,71.43%,1.43,00:00:36,0.00%,0,$0.00 
Andorra,6,100.00%,6,83.33%,1.17,00:00:39,0.00%,0,$0.00 
Guernsey,6,100.00%,6,83.33%,1.17,00:00:04,0.00%,0,$0.00 
Greenland,6,33.33%,2,66.67%,1.83,00:02:45,0.00%,0,$0.00 
Mauritania,6,100.00%,6,66.67%,1.33,00:00:20,0.00%,0,$0.00 
Saint Vincent and the Grenadines,6,83.33%,5,66.67%,1.67,00:01:43,0.00%,0,$0.00 
Samoa,6,100.00%,6,50.00%,1.83,00:00:28,0.00%,0,$0.00 
Aruba,5,100.00%,5,80.00%,1.2,00:00:04,0.00%,0,$0.00 
Barbados,5,100.00%,5,60.00%,1.4,00:00:06,0.00%,0,$0.00 
Cook Islands,5,100.00%,5,80.00%,1.2,00:00:04,0.00%,0,$0.00 
Dominica,5,60.00%,3,20.00%,6.2,00:08:05,0.00%,0,$0.00 
Gabon,5,100.00%,5,80.00%,1.2,00:00:06,0.00%,0,$0.00 
Monaco,5,100.00%,5,60.00%,1.4,00:00:07,0.00%,0,$0.00 
Turkmenistan,5,100.00%,5,100.00%,1,00:00:00,0.00%,0,$0.00 
Belize,4,100.00%,4,100.00%,1,00:00:00,0.00%,0,$0.00 
Faroe Islands,4,100.00%,4,100.00%,1,00:00:00,0.00%,0,$0.00 
Guam,4,100.00%,4,25.00%,2.25,00:00:28,0.00%,0,$0.00 
Mali,4,100.00%,4,100.00%,1,00:00:00,0.00%,0,$0.00 
Chad,4,100.00%,4,75.00%,1.25,00:00:03,0.00%,0,$0.00 
Togo,4,100.00%,4,75.00%,1.75,00:02:46,0.00%,0,$0.00 
Antigua and Barbuda,3,66.67%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
American Samoa,3,100.00%,3,66.67%,1.67,00:00:05,0.00%,0,$0.00 
Bhutan,3,100.00%,3,66.67%,1.33,00:00:27,0.00%,0,$0.00 
Cape Verde,3,100.00%,3,100.00%,1,00:00:00,0.00%,0,$0.00 
Saint Kitts and Nevis,3,100.00%,3,100.00%,1,00:00:00,0.00%,0,$0.00 
Saint Lucia,3,100.00%,3,66.67%,1.33,00:00:03,0.00%,0,$0.00 
Liechtenstein,3,100.00%,3,100.00%,1,00:00:00,0.00%,0,$0.00 
Maldives,3,100.00%,3,100.00%,1,00:00:00,0.00%,0,$0.00 
Niger,3,100.00%,3,33.33%,3.33,00:06:50,0.00%,0,$0.00 
French Polynesia,3,100.00%,3,100.00%,1,00:00:00,0.00%,0,$0.00 
Swaziland,3,100.00%,3,66.67%,1.33,00:00:48,0.00%,0,$0.00 
Afghanistan,2,100.00%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
Anguilla,2,100.00%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
Cuba,2,100.00%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
Curacao,2,100.00%,2,50.00%,1.5,00:12:05,0.00%,0,$0.00 
Djibouti,2,100.00%,2,50.00%,2,00:00:10,0.00%,0,$0.00 
French Guiana,2,100.00%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
Guyana,2,100.00%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
Saint Martin,2,100.00%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
Macau,2,100.00%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
Martinique,2,100.00%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
New Caledonia,2,100.00%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
Norfolk Island,2,100.00%,2,50.00%,2,00:07:25,0.00%,0,$0.00 
Solomon Islands,2,100.00%,2,50.00%,1.5,00:00:12,0.00%,0,$0.00 
Vanuatu,2,100.00%,2,100.00%,1,00:00:00,0.00%,0,$0.00 
Bermuda,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Caribbean Netherlands,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Micronesia,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Grenada,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Gibraltar,1,100.00%,1,0.00%,2,00:00:00,0.00%,0,$0.00 
Gambia,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Guadeloupe,1,100.00%,1,0.00%,2,00:01:09,0.00%,0,$0.00 
Cayman Islands,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Laos,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Northern Mariana Islands,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Papua New Guinea,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Sint Maarten,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Turks and Caicos Islands,1,100.00%,1,0.00%,2,00:00:39,0.00%,0,$0.00 
U.S. Virgin Islands,1,100.00%,1,0.00%,2,00:15:51,0.00%,0,$0.00 
Yemen,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
Mayotte,1,100.00%,1,100.00%,1,00:00:00,0.00%,0,$0.00 
,"68,517",89.12%,"61,063",73.25%,1.7,00:01:23,0.00%,0,$0.00 
