id,label,timeset,type,image,lfr,listed,friends,shape,file,followers,user_id,ffr,statuses,indegree,outdegree,degree
324,AlboumSays,,followers,/home/usnish/twitter_ypcdn/img/119827907.jpg,0.5676,55,1995,triangle-down,ncdaction.dat,969,119827907,0.4857,5108,38,145,183
3525,johnspaula,,followers,/home/usnish/twitter_ypcdn/img/62563592.jpg,0.1379,4,345,triangle-down,ncdaction.dat,290,62563592,0.8406,328,65,68,133
4015,MsaidRx,,followers,/home/usnish/twitter_ypcdn/img/333918216.jpg,0.1422,9,616,triangle-up,ncdaction.dat,633,333918216,1.0276,3750,18,35,53
4286,ShiRoyal,,followers,/home/usnish/twitter_ypcdn/img/103022438.jpg,0.1109,15,688,triangle-up,ncdaction.dat,1353,103022438,1.9666,25651,3,5,8
1434,D_Sellars_JCU,,followers,/home/usnish/twitter_ypcdn/img/2343133453.jpg,0.2344,3,390,triangle-down,ncdaction.dat,128,2343133453,0.3282,213,4,24,28
1718,gaelbassetto,,followers,/home/usnish/twitter_ypcdn/img/2281995396.jpg,1.54,77,1827,triangle-down,ncdaction.dat,500,2281995396,0.2737,665,15,38,53
1374,huliwuxian,,followers,/home/usnish/twitter_ypcdn/img/50348018.jpg,0.1351,1,258,triangle-down,ncdaction.dat,74,50348018,0.2868,390,0,6,6
2571,ESOncology,,followers,/home/usnish/twitter_ypcdn/img/102634000.jpg,0.3643,67,446,triangle-up,ncdaction.dat,1839,102634000,4.1233,2132,68,24,92
2778,johnjuliardmd,,followers,/home/usnish/twitter_ypcdn/img/79712514.jpg,0.2941,1,99,triangle-down,ncdaction.dat,34,79712514,0.3434,182,4,33,37
212,gbukhman,,followers,/home/usnish/twitter_ypcdn/img/38893234.jpg,0.4657,19,258,triangle-up,ncdaction.dat,408,38893234,1.5814,37,123,67,190
2396,Casey_Kalman,,followers,/home/usnish/twitter_ypcdn/img/214287112.jpg,0.6587,11,431,triangle-down,ncdaction.dat,167,214287112,0.3875,776,30,58,88
